Log created: 2025-12-01 19:03:28
Type: backup
[2025-12-01 19:03:29][notice]Start backing up.
[2025-12-01 19:03:29][notice]server info fcgi:Off max execution time: 300 wp version:6.8.3 php version:8.1.32 db version:10.3.39 php ini:safe_mode: memory_limit:512M memory_get_usage:107,36 MB memory_get_peak_usage:112,76 MB extensions:PDO enabled curl enabled zlib enabled   is_multisite:0
[2025-12-01 19:03:29][notice]LiteSpeed Server.
[2025-12-01 19:03:29][notice]Add LiteSpeed Rule
[2025-12-01 19:03:29][notice]Prepare to backup backup_db files.
[2025-12-01 19:03:29][notice]Start exporting database.
[2025-12-01 19:03:29][notice]Preparing to dump table wp_bv_activities_store
[2025-12-01 19:03:29][notice]Preparing to dump table wp_bwf_contact_meta
[2025-12-01 19:03:29][notice]Preparing to dump table wp_cartflows_ca_email_templates
[2025-12-01 19:03:29][notice]Preparing to dump table wp_contabilium_log
[2025-12-01 19:03:29][notice]Preparing to dump table wp_financing_options
[2025-12-01 19:03:29][notice]Preparing to dump table wp_gla_attribute_mapping_rules
[2025-12-01 19:03:29][notice]Preparing to dump table wp_gla_merchant_issues
[2025-12-01 19:03:29][notice]Preparing to dump table wp_jet_post_types
[2025-12-01 19:03:29][notice]Preparing to dump table wp_jet_taxonomies
[2025-12-01 19:03:29][notice]Preparing to dump table wp_mailpoet_automation_triggers
[2025-12-01 19:03:29][notice]Preparing to dump table wp_mailpoet_automations
[2025-12-01 19:03:29][notice]Preparing to dump table wp_mailpoet_forms
[2025-12-01 19:03:29][notice]Preparing to dump table wp_mailpoet_statistics_bounces
[2025-12-01 19:03:29][notice]Preparing to dump table wp_member_catmeta
[2025-12-01 19:03:30][notice]Preparing to dump table wp_ml_attributes_map_table
[2025-12-01 19:03:30][notice]Preparing to dump table wp_options_terms_rel
[2025-12-01 19:03:30][notice]Preparing to dump table wp_portfolio_catmeta
[2025-12-01 19:03:30][notice]Preparing to dump table wp_product_catmeta
[2025-12-01 19:03:30][notice]Preparing to dump table wp_pys_stat_traffic
[2025-12-01 19:03:30][notice]Preparing to dump table wp_pys_stat_utm_campaing
[2025-12-01 19:03:30][notice]Preparing to dump table wp_pys_stat_utm_content
[2025-12-01 19:03:30][notice]Preparing to dump table wp_pys_stat_utm_medium
[2025-12-01 19:03:30][notice]Preparing to dump table wp_pys_stat_utm_source
[2025-12-01 19:03:30][notice]Preparing to dump table wp_pys_stat_utm_term
[2025-12-01 19:03:30][notice]Preparing to dump table wp_revslider_layer_animations
[2025-12-01 19:03:30][notice]Preparing to dump table wp_revslider_layer_animations_bkp
[2025-12-01 19:03:30][notice]Preparing to dump table wp_revslider_navigations
[2025-12-01 19:03:30][notice]Preparing to dump table wp_revslider_navigations_bkp
[2025-12-01 19:03:30][notice]Preparing to dump table wp_wc_category_lookup
[2025-12-01 19:03:30][notice]Preparing to dump table wp_wccs_cache
[2025-12-01 19:03:30][notice]Preparing to dump table wp_wccs_conditions
[2025-12-01 19:03:30][notice]Preparing to dump table wp_wdr_rules
[2025-12-01 19:03:30][notice]Preparing to dump table wp_wfblockediplog
[2025-12-01 19:03:30][notice]Preparing to dump table wp_wfconfig
[2025-12-01 19:03:30][notice]Preparing to dump table wp_wfcrawlers
[2025-12-01 19:03:30][notice]Preparing to dump table wp_wflocs
[2025-12-01 19:03:30][notice]Preparing to dump table wp_wfls_settings
[2025-12-01 19:03:30][notice]Preparing to dump table wp_wfnotifications
[2025-12-01 19:03:30][notice]Preparing to dump table wp_woocommerce_shipping_zone_methods
[2025-12-01 19:03:30][notice]Preparing to dump table wp_woocommerce_shipping_zones
[2025-12-01 19:03:30][notice]Preparing to dump table wp_woodmart_unsubscribed_emails
[2025-12-01 19:03:30][notice]Preparing to dump table wp_wpmailsmtp_tasks_meta
[2025-12-01 19:03:30][notice]Preparing to dump table wp_wpnotif_sms_app
[2025-12-01 19:03:30][notice]Preparing to dump table wp_wt_iew_action_history
[2025-12-01 19:03:30][notice]Preparing to dump table wp_wt_iew_mapping_template
[2025-12-01 19:03:30][notice]Preparing to dump table wp_yith_wapo_blocks
[2025-12-01 19:03:30][notice]Preparing to dump table wp_ywcdd_calendar
[2025-12-01 19:03:30][notice]Preparing to dump table wp_actionscheduler_claims
[2025-12-01 19:03:30][notice]Preparing to dump table wp_actionscheduler_groups
[2025-12-01 19:03:30][notice]Preparing to dump table wp_cartflows_ca_email_templates_meta
[2025-12-01 19:03:30][notice]Preparing to dump table wp_duplicator_pro_entities
[2025-12-01 19:03:30][notice]Preparing to dump table wp_e_events
[2025-12-01 19:03:30][notice]Preparing to dump table wp_gla_shipping_times
[2025-12-01 19:03:31][notice]Preparing to dump table wp_links
[2025-12-01 19:03:31][notice]Preparing to dump table wp_mailpoet_automation_versions
[2025-12-01 19:03:31][notice]Preparing to dump table wp_mailpoet_custom_fields
[2025-12-01 19:03:31][notice]Preparing to dump table wp_mailpoet_dynamic_segment_filters
[2025-12-01 19:03:31][notice]Preparing to dump table wp_mailpoet_feature_flags
